1,59,91,66,216,72
2,76,68,79,223,74
3,96,65,51,212,70
4,51,88,62,201,67
5,85,81,70,236,78
6,53,55,98,206,68
7,85,85,76,246,82
8,93,86,59,238,79
9,56,70,78,204,68
10,91,74,54,219,73
11,94,54,72,220,73
12,97,56,72,225,75
13,57,72,92,221,73
14,65,71,79,215,71
15,97,67,63,227,75
16,100,67,69,236,78
17,78,63,87,228,76
18,99,93,53,245,81
19,92,84,83,259,86
20,80,69,86,235,78
21,74,99,58,231,77
22,53,53,70,176,58
23,74,53,63,190,63
24,55,79,58,192,64
25,66,89,92,247,82
26,61,63,96,220,73
27,64,70,75,209,69
28,83,71,74,228,76
29,72,56,79,207,69
30,82,92,71,245,81
